Year,TOR event location types,Location: Residence,"Location: Street, highway, motorway",Location: Outdoor public area,Location: Police premises,Location: Police vehicle,Location: Commercial Property,Location: Non-Police vehicle,Location: Gang premises,Location: Other,Subject Known,Age Group,Subject Gender,Ethnicity recode,RF: History of carrying weapons,RF: History of violence against police,RF: History of violence against non-police,RF: Alcohol,RF: Drugs,RF: 1M,RF: Distressed (Not 1M),RF: Suicidal,RF: Excited Delirium,RF: Medical,RF: Other,Subject Armed,RECODE: Subject Armed,RECODE: Subject Weapon,Tactics Used,Overall Behaviour - Threaten Police,Overall Behaviour - Threaten Non-Police,Overall Behaviour - Violence Towards Police,Overall Behaviour - Violence Towards Non-Police,Overall Behaviour - Weapon Used Against Police,Overall Behaviour - Spit blood/saliva at Police,Overall Behaviour - Other,Communication Usage count,Communication: PCA,Communication: Tactic Location Type,Communication: Tactic Effect,HC-Restraints: Usage Count,HC: Not reportable,HCwP&R Usage Count,Spithood Usage Count,HC-Restraints 1: PCA,HC-Restraints 1: Handcuff Type,HC-Restraints 1: Technique,Recode HC-R 1 type,HC-Restraints 1: Tactic Location Type,HC-Restraints 1: Tactic Effect,HC-Restraints 2: PCA,HC-Restraints 2: HandcuffType,HC-Restraints 2: Technique,Recode HC-R 2 type,HC-Restraints 2: Tactic Location Type,HC-Restraints 2: Tactic Effect,HC-Restraints 3: PCA,HC-Restraints 3: HandcuffType,HC-Restraints 3: Technique,Recode HC-R 3 type,HC-Restraints 3: Tactic Location Type,HC-Restraints 3: Tactic Effect,OC Spray: Usage Count,OC Spray 1: PCA,OC Spray 1: Spray Duration,OC Spray 1: Body Location,OC Spray 1: Tactic Location Type,OC Spray 1: Environmental Conditions,OC Spray 1: Tactic Effect,OC Spray 2: PCA,OC Spray 2: Spray Duration,OC Spray 2: Body Location,OC Spray 2: Tactic Location Type,OC Spray 2: Environmental Conditions,OC Spray 2: Tactic Effect,OC Spray 3: PCA,OC Spray 3: Spray Duration,OC Spray 3: Body Location,OC Spray 3: Tactic Location Type,OC Spray 3: Environmental Conditions,OC Spray 3: Tactic Effect,Empty Hand: Usage Count,Empty Hand 1: PCA,Empty Hand 1: Tactic Location Type,Empty Hand 1: Tactic Effect,Empty Hand 2: PCA,Empty Hand 2: Tactic Location Type,Empty Hand 2: Tactic Effect,Empty Hand 3: PCA,Empty Hand 3: Tactic Location Type,Empty Hand 3: Tactic Effect,Baton: Usage Count,Baton 1: PCA,Baton 1: Type,Baton 1: Method,Baton 1: Strikes,Baton 1: Tactic Location Type,Baton 1: Tactic Effect,Dog: Usage Count,Dog 1: PCA,Dog 1: Subject Bitten,Dog 1: Tactic Location Type,Dog 1: Tactic Effect,Dog 2: PCA,Dog 2: Subject Bitten,Dog 2: Tactic Location Type,Dog 2: Tactic Effect,Taser: Usage Count,TASER Deployments,Show or Discharge?,Presentation,Laser painting,Arcing,No of Discharge w Probes,No of Contact Stuns,Highest Deployment mode,Total Cycles,Taser 1: PCA,Taser 1: Type,Taser 1: Deployment Method,Taser 1: Number of dischagres with probes,Taser 1: Number of contact stuns,Taser 1: Num of 5 second cycles,Taser 1: Body Location,Taser 1: Activation Duration,Taser 1: Tactic Location Type,Taser 1: Environmental Conditions,Taser 1: Subject Restrained?,Taser 1: Tactic Effect,Taser 2: PCA,Taser 2: Type,Taser 2: Deployment Method,Taser 2: Number of dischagres with probes,Taser 2: Number of contact stuns,Taser 2: Num of 5 second cycles,Taser 2: Body Location,Taser 2: Activation Duration,Taser 2: Tactic Location Type,Taser 2: Environmental Conditions,Taser 2: Subject Restrained?,Taser 2: Tactic Effect,Taser 3: PCA,Taser 3: Type,Taser 3: Deployment Method,Taser 3: Number of dischagres with probes,Taser 3: Number of contact stuns,Taser 3: Num of 5 second cycles,Taser 3: Body Location,Taser 3: Activation Duration,Taser 3: Tactic Location Type,Taser 3: Environmental Conditions,Taser 3: Subject Restrained?,Taser 3: Tactic Effect,Firearm: Usage Count,All Firearm deployments,Highest Firerm Deployment,Firearm 1: PCA,Firearm 1: Firearm Type,Firearm 1: Deployment Method,Firearm 1: Num Shots Fired,Firearm 1: Body Location,Firearm 1: Tactic Location Type,Firearm 1: Capable of Threat,Firearm 1: Tactic Effect,Firearm 2: PCA,Firearm 2: Firearm Type,Firearm 2: Deployment Method,Firearm 2: Num Shots Fired,Firearm 2: Body Location,Firearm 2: Tactic Location Type,Firearm 2: Capable of Threat,Firearm 2: Tactic Effect,Other: Usage Count,Other 1: Tactic,Other 1: PCA,Other 1: Tactic Location Type,Other 1: Tactic Effect,Recode: Incident Type,Total Subject Injuries,Subject Injury 1: Cause,Subject Injury 1: Site,Subject Injury 1: Type,Subject Injury 1: Treatment Required,Subject Injury 1: Treatment Received,Subject Injury 2: Cause,Subject Injury 2: Site,Subject Injury 2: Type,Subject Injury 2: Treatment Required,Subject Injury 2: Treatment Received,Subject Injury 3: Cause,Subject Injury 3: Site,Subject Injury 3: Type,Subject Injury 3: Treatment Required,Subject Injury 3: Treatment Received,Staff Injury,Staff Injury: Area(s),Staff Injury: Outcome,Staff Injury: Cause,Staff Injury By Subject: Behaviour,All PCAs,Highest PCA,Charge Categories,1000,2000,3000,4000,5000,6000,A-W Traffic,Total Charge Categories
2018,Commercial Property,,,,,,1,,,,Yes,41-50,Male,European,1,,,,1,,,,,,,No Weapon,No,,"Taser
",,,,1,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Laser Painting  ,Show,No,Yes,No,0,0,Laser painting,0,Assaultive,X2,Laser Painting,-,-,-,-,-,Commercial Property,"Good visibility
Dry ground
Static obstacles
Moving obstacles",No,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f - assist fire/ambulance/traffic,0,,,,,,,,,,,,,,,,,,,,,Assaultive,Assaultive,"1400, 1500",2,0,0,0,0,0,0,2
2018,Outdoor public areaOutdoor public area,,,1,,,,,,,Yes,17-20,Male,European,,1,1,,,,,,,,,No Weapon,No,,"Communication
OC Spray
",1,,,,1,,1,1,Active Resistant,Outdoor public area,Opposite effect of that intended,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,1,"REar, RCheek",Outdoor public area,"Good visibility
Dry ground",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1u - traffic incident,0,,,,,,,,,,,,,,,,,,,,,Active ResistantAssaultive,Assaultive,A-W Traffic Offences,0,0,0,0,0,0,1,1
2018,"Police Car
Street/Highway/MotorwayPolice Car
Street/Highway/Motorway",,1,,,1,,,,,Yes,17-20,Male,European,,1,1,1,1,,,,1,,,No Weapon,No,,"Communication
Empty Hand
",,,1,,,1,,1,Active Resistant,"Police Car
Street/Highway/Motorway",Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,"Police Car
Street/Highway/Motorway",Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1k - drunk custody/detox centre incident,0,,,,,,,,,,,,,,,,,,,,,Active ResistantAssaultive,Assaultive,"1500, 3500",1,0,1,0,0,0,0,2
2018,Street/Highway/MotorwayStreet/Highway/MotorwayStreet/Highway/Motorway,,1,,,,,,,,Yes,21-30,Male,Māori,1,,,1,,,,,,,,No Weapon,No,,"Communication
Empty Hand
Dog
",,,1,,,,1,1,Active Resistant,Street/Highway/Motorway,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Active Resistant,Street/Highway/Motorway,Nil,,,,,,,,,,,,,,1,Active Resistant,Yes,Street/Highway/Motorway,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2w - arrest warrant (other),1,Dog,LThigh-front,Bite (animal),Medical,Medical,,,,,,,,,,,,,,,,Active ResistantActive ResistantActive Resistant,Active Resistant,"1500, 7100",1,0,0,0,0,0,0,1
2018,ResidenceResidenceResidenceResidenceResidenceResidence,1,,,,,,,,,Yes,31-40,Male,Māori,,,,,,,,,,,,No Weapon,No,,"Communication
Communication
Empty Hand
Communication
Empty Hand
Handcuffs-Restraints
Empty Hand
Handcuffs-Restraints
",,,,,,,1,3,Active Resistant,Residence,Nil,2,,2,0,Active Resistant,Metal handcuffs,with pain compliance,PC - Metal handcuffs,Residence,Delayed and not sufficient,Active Resistant,Metal handcuffs,with pain compliance,PC - Metal handcuffs,Residence,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,3,Active Resistant,Residence,Nil,Active Resistant,Residence,Delayed and not sufficient,Active Resistant,Residence,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2w - arrest warrant (other),1,Handcuffs-Restraints,RHand-front,Swelling/Bruising,Medical,Refused,,,,,,,,,,,Yes,LArm-front,Self,Subject,Other,Active ResistantActive ResistantActive ResistantActive ResistantActive ResistantActive Resistant,Active Resistant,3500,0,0,1,0,0,0,0,1
2018,ResidenceResidence,1,,,,,,,,,Yes,31-40,Male,Māori,,1,1,,,,,,,,,No Weapon,No,,"Communication
Empty Hand
",1,,1,,,,1,1,Passive Resistant,Residence,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Active Resistant,Residence,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2w - arrest warrant (other),0,,,,,,,,,,,,,,,,Yes,RArm-front,Self,Subject,Wrestle/Headlock Police,Passive ResistantActive Resistant,Active Resistant,3500,0,0,1,0,0,0,0,1
2018,Police CarOtherOtherPolice Car,,,,,1,,,,1,Yes,21-30,Male,European,,,,,,1,,,,,,No Weapon,No,,"Communication
Empty Hand
Handcuffs-Restraints
Empty Hand
Communication
",1,,1,1,,1,,2,Assaultive,Police Car,Delayed but sufficient,1,,1,0,Assaultive,Metal handcuffs,with pain compliance,PC - Metal handcuffs,Other,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Assaultive,Other,Delayed but sufficient,Assaultive,Police Car,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultiveAssaultiveAssaultive,Assaultive,"1400, 4300",1,0,0,1,0,0,0,2
2018,Outdoor public areaOutdoor public areaPolice CarPolice Car,,,1,,1,,,,,Yes,21-30,Male,European,,,,1,1,,1,,,,,No Weapon,No,,"Communication
Handcuffs-Restraints
Handcuffs-Restraints
Empty Hand
",1,1,1,,,1,1,1,Passive Resistant,Outdoor public area,Delayed and not sufficient,2,,1,1,Passive Resistant,Metal handcuffs,without pain compliance,No PC - Metal handcuffs,Outdoor public area,Immediate but not sufficient,Assaultive,Spit Hood,,Spit Hood,Police Car,Immediate but not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,Police Car,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d - bail breach,0,,,,,,,,,,,,,,,,,,,,,Passive ResistantPassive ResistantAssaultiveAssaultive,Assaultive,3500,0,0,1,0,0,0,0,1
2018,Street/Highway/MotorwayStreet/Highway/MotorwayStreet/Highway/Motorway,,1,,,,,,,,Yes,14-16,Male,Pacific peoples,,,,1,,,,,,,,Had Weapon but Not Used,Yes,Cutting/stabbing weapon,"Communication
OC Spray
Handcuffs-Restraints
",,1,,1,1,,,1,Assaultive,Street/Highway/Motorway,Nil,1,Y,,0,Active Resistant,Metal handcuffs,without pain compliance,No PC - Metal handcuffs,Street/Highway/Motorway,Immediate and sufficient,,,,,,,,,,,,,1,Assaultive,2,"Forehead, LEyeBrow, REyeBrow, LEye, LEar, LCheek, Nose",Street/Highway/Motorway,"Good visibility
Dry ground
Calm",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,AssaultiveActive ResistantAssaultive,Assaultive,Nil,0,0,0,0,0,0,0,0
2018,Police CellPolice Cell,,,,1,,,,,,Yes,21-30,Male,Māori,,,,1,1,,,,,,,No Weapon,No,,"Communication
Empty Hand
",,,,,,,1,1,Passive Resistant,Police Cell,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Active Resistant,Police Cell,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1x - threaten/attempt suicide,0,,,,,,,,,,,,,,,,,,,,,Passive ResistantActive Resistant,Active Resistant,Nil,0,0,0,0,0,0,0,0
2018,Residence,1,,,,,,,,,Yes,51-60,Female,European,,,,,,1,,,,,,Had Weapon and Used,Yes,Cutting/stabbing weapon,"OC Spray
",,,,,1,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1,GBH,4,"LCheek, RCheek",Residence,Good visibility,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1m - mental health incident,0,,,,,,,,,,,,,,,,,,,,,GBH,GBH,Nil,0,0,0,0,0,0,0,0
2018,ResidenceResidence,1,,,,,,,,,Yes,31-40,Male,Māori,1,1,1,1,,,,,,,,Had Weapon and Used,Yes,Bludgeoning weapon,"Communication
Dog
",1,,,,1,,,1,Assaultive,Residence,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,Yes,Residence,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1c - car/person acting suspiciously,1,Dog,"LHand-front
RLeg-back",Bite (animal),Medical,Refused,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,"1600, 3500, 4100",1,0,1,1,0,0,0,3
2018,"Street/Highway/MotorwayResidence
Street/Highway/Motorway",1,1,,,,,,,,Yes,31-40,Male,European,,,,,,,,,,,1,No Weapon,No,,"Communication
Dog
",,,,,,,1,1,Active Resistant,Street/Highway/Motorway,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Active Resistant,Yes,"Residence
Street/Highway/Motorway",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1u - traffic incident,1,Dog,"LLeg-front
LLeg-back",Bite (animal),Medical,Medical,,,,,,,,,,,,,,,,Active ResistantActive Resistant,Active Resistant,"4200, 4300, A-W Traffic Offences",0,0,0,2,0,0,1,3
2018,Outdoor public areaOutdoor public area,,,1,,,,,,,Yes,17-20,Female,European,,,,1,,,,,,,,No Weapon,No,,"Communication
OC Spray
",1,,1,,,,,1,Active Resistant,Outdoor public area,Nil,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,1,"LEyeBrow, REyeBrow, LEye, REye",Outdoor public area,"Good visibility
Wet ground
Calm",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,Active ResistantAssaultive,Assaultive,Nil,0,0,0,0,0,0,0,0
2018,Outdoor public area,,,1,,,,,,,Yes,17-20,Female,European,,1,1,1,,,,,,,,No Weapon,No,,"OC Spray
",1,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,1,"LEyeBrow, REyeBrow, LEye, REye",Outdoor public area,"Good visibility
Wet ground
Calm",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1r - breach of peace,0,,,,,,,,,,,,,,,,,,,,,Assaultive,Assaultive,"1600, 3500",1,0,1,0,0,0,0,2
2018,Street/Highway/MotorwayStreet/Highway/Motorway,,1,,,,,,,,Yes,21-30,Male,Māori,1,,,,1,,,,,,,No Weapon,No,,"Communication
Taser
",,,1,,,,,1,Assaultive,Street/Highway/Motorway,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Discharge  ,Discharge,No,No,No,1,3,Discharge with probes,4,Assaultive,X2,Discharge,1,3,4,"LLeg-back, LLeg-back, LLeg-back, Miss",20,Street/Highway/Motorway,"Poor visibility
Dry ground
Static obstacles
Moving obstacles
Potential cross-fire/contamination",No,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3t - turnover,1,Other - not tactic,"RLeg-front
LLeg-front
RArm-back
Head-back",Scrape/abrasion(not cut/laceration),Medical,Hospital,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,1400,1,0,0,0,0,0,0,1
2018,ResidenceResidenceResidence,1,,,,,,,,,Yes,51-60,Female,European,1,,,,,1,,1,,,,Had Weapon and Used,Yes,Cutting/stabbing weapon,"Communication
Taser
Taser
",1,,1,,1,,,1,GBH,Residence,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Discharge Discharge ,Discharge,No,No,No,3,0,Discharge with probes,3,GBH,X26 with camera,Discharge,2,0,2,"Miss, Miss",5,Residence,Good visibility,No,Nil,GBH,X26 with camera,Discharge,1,0,1,Abdomen,5,Residence,Good visibility,No,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1m - mental health incident,0,,,,,,,,,,,,,,,,,,,,,GBHGBHGBH,GBH,Nil,0,0,0,0,0,0,0,0
2018,OtherOther,,,,,,,,,1,Yes,41-50,Male,European,,,,1,,,,,,,,Had Weapon and Used,Yes,Bludgeoning weapon,"Communication
Taser
",,,,,,,1,1,Assaultive,Other,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Laser Painting  ,Show,No,Yes,No,0,0,Laser painting,0,Assaultive,X26 with camera,Laser Painting,-,-,-,-,-,Other,Good visibility,No,Delayed but sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d - domestic dispute incident,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,"1500, 1700",2,0,0,0,0,0,0,2
2018,"Police Cell
Street/Highway/Motorway",,1,,1,,,,,,Yes,21-30,Male,European,,1,1,,1,1,,,1,,,No Weapon,No,,"Empty Hand
",1,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,"Police Cell
Street/Highway/Motorway",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4u - arrest and follow up,0,,,,,,,,,,,,,,,,,,,,,Assaultive,Assaultive,3500,0,0,1,0,0,0,0,1
2018,Outdoor public areaOutdoor public area,,,1,,,,,,,Yes,21-30,Male,European,1,1,1,1,1,,,,,,,Had Weapon and Used,Yes,Air/BB or pellet,"Communication
Dog
",,1,,,,,,1,GBH,Outdoor public area,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GBH,Yes,Outdoor public area,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1c - car/person acting suspiciously,1,Dog,RHand-front,Bite (animal),At Scene,Medical,,,,,,,,,,,,,,,,GBHGBH,GBH,"1300, 4200",1,0,0,1,0,0,0,2
2018,Street/Highway/MotorwayStreet/Highway/Motorway,,1,,,,,,,,Yes,17-20,Male,Māori,,,,1,,,1,,,,,No Weapon,No,,"Communication
OC Spray
",1,,,,,,,1,Assaultive,Street/Highway/Motorway,Opposite effect of that intended,,,,0,,,,,,,,,,,,,,,,,,,1,Assaultive,3,"Forehead, LEyeBrow, REyeBrow, LEye, REye, LEar, REar, LCheek, RCheek, Nose",Street/Highway/Motorway,"Good visibility
Dry ground",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3t - turnover,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,3500,0,0,1,0,0,0,0,1
2018,ResidenceResidenceResidence,1,,,,,,,,,Yes,21-30,Male,Māori,1,1,1,,,,,,,,,Had Weapon and Used,Yes,Bludgeoning weapon,"Communication
Dog
Taser
",,,,,1,,,1,Active Resistant,Residence,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,Yes,Residence,Delayed and not sufficient,,,,,1,Discharge  ,Discharge,No,No,No,1,0,Discharge with probes,1,Assaultive,X2,Discharge,1,0,1,"UpperBack, LowerBack",5,Residence,"Poor visibility
Dry ground
Windy",No,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1u - traffic incident,1,Dog,RFoot-back,Scrape/abrasion(not cut/laceration),Medical,Medical,,,,,,,,,,,Yes,LArm-front,Self,Subject,Use any weapon against Police,Active ResistantAssaultiveAssaultive,Assaultive,"1400, 1700, 5900, 6800, A-W Traffic Offences",2,0,0,0,1,1,1,5
2018,Street/Highway/MotorwayStreet/Highway/MotorwayPolice Car,,1,,,1,,,,,Yes,21-30,Male,European,,1,1,1,,,,,,,,No Weapon,No,,"Communication
Handcuffs-Restraints
Empty Hand
",1,,1,,1,,,1,Assaultive,Street/Highway/Motorway,Nil,1,,1,0,Assaultive,Metal handcuffs,with pain compliance,PC - Metal handcuffs,Street/Highway/Motorway,Immediate but not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,Police Car,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1u - traffic incident,1,Empty Hand,"RHand-front
LHand-front
Face
LArm-back
RArm-back
Head-back",Scrape/abrasion(not cut/laceration),Nil,Nil,,,,,,,,,,,,,,,,AssaultiveAssaultiveAssaultive,Assaultive,"1700, 3500, 4200, 4300, 6300, 7900, A-W Traffic Offences",1,0,1,2,0,1,1,6
2018,"Commercial Property
Outdoor public areaCommercial Property
Outdoor public area",,,1,,,1,,,,Yes,31-40,Male,European,1,,,,1,,,,,,,No Weapon but Believed,No,,"Communication
Dog
",,,,,,,1,1,Assaultive,"Commercial Property
Outdoor public area",Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,Yes,"Commercial Property
Outdoor public area",Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1u - traffic incident,1,Dog,"RShldr-back
UpperBack",Bite (animal),Medical,Medical,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,"3100, A-W Traffic Offences",0,0,1,0,0,0,1,2
2018,ResidenceResidence,1,,,,,,,,,Yes,41-50,Male,Māori,,1,1,1,,,,,,,,No Weapon,No,,"Communication
Empty Hand
",1,1,1,,,,,1,Assaultive,Residence,Nil,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Assaultive,Residence,Immediate but not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1n - noise complaint,0,,,,,,,,,,,,,,,,,,,,,AssaultiveAssaultive,Assaultive,1500,1,0,0,0,0,0,0,1
2018,Residence,1,,,,,,,,,Yes,41-50,Male,Māori,1,,,,1,,,,,,,Had Weapon but Not Used,Yes,Bludgeoning weapon,"Empty Hand
",,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Active Resistant,Residence,Immediate and sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1z - other incident,1,Empty Hand,RHand-front,Sprain/Strain,Nil,Nil,,,,,,,,,,,,,,,,Active Resistant,Active Resistant,1600,1,0,0,0,0,0,0,1
2018,ResidenceResidenceResidenceResidence,1,,,,,,,,,Yes,41-50,Male,Māori,,,,,,,,,,,1,No Weapon,No,,"Communication
OC Spray
Empty Hand
Handcuffs-Restraints
",,,1,,1,,1,1,Cooperative,Residence,Immediate but not sufficient,1,Y,,0,Assaultive,Metal handcuffs,without pain compliance,No PC - Metal handcuffs,Residence,Immediate and sufficient,,,,,,,,,,,,,1,Assaultive,2,"Forehead, LEye, REye, LCheek, RCheek, Nose",Residence,"Good visibility
Dry ground
Calm
Static obstacles
Potential cross-fire/contamination",Delayed but sufficient,,,,,,,,,,,,,1,Assaultive,Residence,Immediate but not sufficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1c - car/person acting suspiciously,0,,,,,,,,,,,,,,,,,,,,,CooperativeAssaultiveAssaultiveAssaultive,Assaultive,3200,0,0,1,0,0,0,0,1
